Month,Rank,Most Revenue Product,Most Revenue (억)
1,1,딸기,9.2461
1,2,곶감,1.262185
1,3,대추토마토,1.064775
1,4,두부,0.97195
1,5,배,0.882463
1,6,토마토,0.86295
1,7,떡국떡,0.735585
1,8,양파,0.630006
1,9,한우양지(국내산),0.5640685
1,10,느타리버섯,0.4856775
2,1,딸기,9.491245
2,2,대추토마토,1.18694
2,3,토마토,1.05421
2,4,두부,1.01591502
2,5,배,0.893138
2,6,곶감,0.810592
2,7,백미,0.63908
2,8,메주,0.6178
2,9,양파,0.608778
2,10,한우양지(국내산),0.5636914
3,1,딸기,9.9552
3,2,대추토마토,1.836515
3,3,토마토,1.4032066
3,4,두부,1.11152702
3,5,양파,0.6903153
3,6,백미,0.631695
3,7,파프리카,0.57365
3,8,고구마(꿀),0.56251
3,9,오이고추,0.528926
3,10,상추,0.528865
4,1,딸기,7.40187
4,2,대추토마토,2.1011375
4,3,토마토,1.4149055
4,4,두부,0.980453
4,5,양파,0.9219905
4,6,두릅(나무),0.708325
4,7,백미,0.59685
4,8,파프리카,0.545442
4,9,고구마(꿀),0.5301255
4,10,상추,0.508378
5,1,딸기,3.6065
5,2,대추토마토,2.0174975
5,3,수박,1.3730605
5,4,토마토,1.34083
5,5,두부,0.946066
5,6,양파,0.757043
5,7,한우양지(국내산),0.7166884
5,8,한우등심(국내산),0.6578055
5,9,블루베리,0.620724
5,10,백미,0.61732
6,1,블루베리,2.820843
6,2,수박,2.233051
6,3,대추토마토,1.6242095
6,4,토마토,1.151619
6,5,두부,0.90975
6,6,한우양지(국내산),0.628405
6,7,백미,0.577865
6,8,깻잎,0.528764
6,9,양파,0.51252
6,10,한우등심(국내산),0.441774
7,1,블루베리,2.14838804
7,2,복숭아,1.57767098
7,3,수박,1.5555765
7,4,복숭아(백도),1.416198
7,5,대추토마토,1.165969
7,6,두부,0.947228
7,7,복숭아(황도),0.937825
7,8,찰옥수수,0.794969
7,9,포도(거봉),0.729945
7,10,토마토,0.7250814
8,1,복숭아(황도),2.086507
8,2,포도(거봉),1.39786
8,3,대추토마토,1.1513845
8,4,두부,1.149323
8,5,깻잎,0.743762
8,6,포도(캠벨),0.72485
8,7,백미,0.71594
8,8,한우양지(국내산),0.6811854
8,9,토마토,0.642473
8,10,복숭아,0.613698
9,1,포도(거봉),1.34459
9,2,두부,1.199609
9,3,메론,1.175708
9,4,한우양지(국내산),1.1033216
9,5,백미,1.045955
9,6,배,1.042962
9,7,복숭아(황도),0.85451
9,8,한우등심(국내산),0.7989762
9,9,대추토마토,0.70378
9,10,대파,0.7006685
10,1,절임배추,1.61535
10,2,두부,1.046485
10,3,백미,0.84314
10,4,대추토마토,0.8324765
10,5,한우양지(국내산),0.696639
10,6,양파,0.521618
10,7,대파,0.516564
10,8,상추,0.475444
10,9,무,0.457646
10,10,배,0.4573705
11,1,딸기,1.249613
11,2,두부,1.0312665
11,3,대추토마토,0.8401175
11,4,한우양지(국내산),0.8260622
11,5,배추김치,0.734755
11,6,배,0.724058
11,7,양파,0.6151695
11,8,백미,0.59812
11,9,토마토,0.54371
11,10,깐쪽파,0.511598
12,1,딸기,7.775986
12,2,두부,1.214539
12,3,한우양지(국내산),1.0998853
12,4,대추토마토,1.0918025
12,5,곶감,0.74788
12,6,떡국떡,0.70668
12,7,토마토,0.68121
12,8,양파,0.635749
12,9,배,0.592846
12,10,백미,0.57524
